ts_open_ms,open,high,low,close,volume,ts_close_ms
1747267200000,652.79,654.18,652.46,653.9,4418.49,1747268099999
1747268100000,653.91,655.16,653.72,654.21,5351.53,1747268999999
1747269000000,654.21,655.18,653.84,654.74,2763.8,1747269899999
1747269900000,654.73,655.22,654.27,654.71,2430.16,1747270799999
1747270800000,654.7,655.22,653.0,653.15,3083.22,1747271699999
1747271700000,653.13,653.64,651.89,652.18,5071.85,1747272599999
1747272600000,652.18,652.44,649.01,649.21,9417.54,1747273499999
1747273500000,649.2,649.61,645.01,647.09,17220.12,1747274399999
1747274400000,647.09,649.23,646.29,648.58,7221.96,1747275299999
1747275300000,648.59,650.49,647.22,649.71,3498.3,1747276199999
1747276200000,649.71,650.19,648.36,648.65,2982.36,1747277099999
1747277100000,648.64,650.19,648.44,649.36,2389.57,1747277999999
1747278000000,649.37,649.73,648.56,648.96,2732.99,1747278899999
1747278900000,648.94,650.09,648.13,649.82,2439.39,1747279799999
1747279800000,649.83,650.21,649.01,649.37,2273.97,1747280699999
1747280700000,649.38,649.62,647.28,648.05,3778.89,1747281599999
1747281600000,648.04,649.96,647.68,648.66,5284.98,1747282499999
1747282500000,648.66,650.5,648.55,650.22,2329.67,1747283399999
1747283400000,650.23,651.3,650.22,651.19,3360.05,1747284299999
1747284300000,651.2,652.2,650.47,652.16,2232.38,1747285199999
1747285200000,652.17,652.57,650.86,650.89,3983.18,1747286099999
1747286100000,650.89,652.34,650.58,652.31,4092.47,1747286999999
1747287000000,652.32,652.75,650.86,652.56,6065.15,1747287899999
1747287900000,652.56,652.56,648.76,648.85,9811.42,1747288799999
1747288800000,648.81,651.14,647.43,650.09,11121.08,1747289699999
1747289700000,650.08,650.78,648.36,649.55,4523.37,1747290599999
1747290600000,649.55,650.14,645.78,646.3,8045.78,1747291499999
1747291500000,646.3,648.18,645.88,648.18,5144.41,1747292399999
1747292400000,648.17,649.12,645.7,645.71,5502.18,1747293299999
1747293300000,645.71,646.35,643.45,643.6,13700.35,1747294199999
1747294200000,643.59,646.0,643.16,645.04,11764.57,1747295099999
1747295100000,645.04,645.85,642.39,644.68,10097.16,1747295999999
1747296000000,644.67,648.04,644.59,647.47,9583.43,1747296899999
1747296900000,647.47,654.36,647.35,652.16,22280.62,1747297799999
1747297800000,652.16,653.29,651.41,651.5,7984.81,1747298699999
1747298700000,651.51,653.44,650.84,652.73,7689.36,1747299599999
1747299600000,652.74,653.41,650.45,650.54,14794.2,1747300499999
1747300500000,650.55,651.77,650.27,651.22,5700.92,1747301399999
1747301400000,651.22,651.67,648.29,648.69,6982.84,1747302299999
1747302300000,648.69,651.88,647.52,650.31,10116.81,1747303199999
1747303200000,650.32,650.92,649.0,649.74,5514.24,1747304099999
1747304100000,649.74,650.42,649.36,649.97,3987.13,1747304999999
1747305000000,649.97,650.05,648.41,649.2,3895.67,1747305899999
1747305900000,649.19,650.83,648.16,650.82,5669.75,1747306799999
1747306800000,650.81,651.99,650.4,651.65,6216.69,1747307699999
1747307700000,651.66,653.28,651.5,652.28,6173.4,1747308599999
1747308600000,652.28,653.33,651.45,653.07,5256.88,1747309499999
1747309500000,653.07,654.93,652.07,653.81,10072.32,1747310399999
1747310400000,653.82,654.91,653.14,653.44,10449.93,1747311299999
1747311300000,653.45,655.6,653.06,654.28,7875.26,1747312199999
1747312200000,654.27,656.69,653.5,655.55,13053.14,1747313099999
1747313100000,655.55,655.86,653.31,653.85,6108.89,1747313999999
1747314000000,653.85,655.28,653.34,654.44,4268.77,1747314899999
1747314900000,654.44,654.76,652.85,653.6,3609.02,1747315799999
1747315800000,653.61,654.32,649.84,651.28,13031.9,1747316699999
1747316700000,651.28,651.42,646.32,650.09,16759.78,1747317599999
1747317600000,650.09,653.33,648.44,649.58,17772.42,1747318499999
1747318500000,649.58,651.42,646.84,649.99,12057.78,1747319399999
1747319400000,650.0,650.52,644.1,644.89,15434.01,1747320299999
1747320300000,644.88,647.5,643.5,647.12,14631.51,1747321199999
1747321200000,647.12,649.26,646.8,648.86,9565.91,1747322099999
1747322100000,648.87,651.12,648.87,650.96,9994.3,1747322999999
1747323000000,650.97,653.53,650.45,653.21,11267.5,1747323899999
1747323900000,653.2,656.47,653.12,655.86,21939.06,1747324799999
1747324800000,655.86,656.95,654.42,654.74,16002.5,1747325699999
1747325700000,654.75,656.7,654.67,656.1,7730.8,1747326599999
1747326600000,656.1,659.22,655.18,659.03,10931.28,1747327499999
1747327500000,659.03,660.4,658.94,660.31,13357.58,1747328399999
1747328400000,660.3,660.38,658.55,659.7,13776.88,1747329299999
1747329300000,659.7,661.57,659.05,660.49,9224.68,1747330199999
1747330200000,660.5,660.5,658.86,659.95,6055.19,1747331099999
1747331100000,659.95,660.42,656.96,657.81,7697.24,1747331999999
1747332000000,657.8,659.18,656.6,658.4,13057.4,1747332899999
1747332900000,658.4,658.41,655.16,655.57,11559.33,1747333799999
1747333800000,655.56,655.56,650.55,652.8,23859.23,1747334699999
1747334700000,652.81,653.08,649.51,650.07,12377.49,1747335599999
1747335600000,650.07,653.45,649.76,652.95,7844.83,1747336499999
1747336500000,652.95,653.7,648.8,650.58,6531.2,1747337399999
1747337400000,650.58,652.41,650.4,652.1,3588.92,1747338299999
1747338300000,652.1,653.14,651.28,652.38,2782.12,1747339199999
1747339200000,652.38,654.03,651.21,651.21,5235.68,1747340099999
1747340100000,651.21,653.82,649.84,653.22,4199.58,1747340999999
1747341000000,653.22,653.76,651.44,653.05,3045.24,1747341899999
